Date,Type,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
Planned,Total,0.9060000000000011,0.9060000000000076,0.9050000000000068,0.9050000000000001,0.905,0.9050000000000001,0.9050000000000002,0.909,0.9120000000000003,0.9120000000000003,0.9110000000000001,0.9070000000000001,0.9030000000000001,0.9020000000000001,0.9020000000000001,0.9020000000000001,0.9020000000000001,0.9060000000000001,0.9100000000000003,0.9100000000000001,0.9110000000000001,0.9080000000000001,0.904,0.9040000000000001
Planned,Nuclear,0.683,0.6830000000000067,0.6830000000000067,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683
Planned,Hydro,0.005,0.00500000000000005,0.005,0.005,0.00500000000000005,0.005,0.005,0.00900000000000005,0.012,0.012000000000000071,0.012,0.009000000000000001,0.00500000000000005,0.00500000000000005,0.00500000000000005,0.005,0.005,0.00900000000000004,0.012,0.012000000000000071,0.01200000000000005,0.00900000000000005,0.005,0.00500000000000005
Planned,Steam,0.2180000000000009,0.21800000000000086,0.21700000000000008,0.21700000000000005,0.217,0.217,0.21700000000000008,0.217,0.21700000000000005,0.217,0.21600000000000005,0.21500000000000005,0.215,0.214,0.214,0.21400000000000008,0.214,0.214,0.21500000000000008,0.215,0.216,0.216,0.216,0.216
Planned,CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planned,Diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planned,FixedImport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planned,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planned,INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planned,DEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planned,FLEX,1.308,1.6029999999999998,1.601,1.5969999999999998,1.5929999999999997,1.3,1.013,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.763
Planned,FLEX,1.308,1.6029999999999998,1.601,1.5969999999999998,1.5929999999999997,1.3,1.013,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.763
Planned,LOAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planned,Slack,1.871199999999999,2.084199999999992,2.0323999999999933,2.0044999999999997,2.0134999999999996,1.7811000000000001,1.6548,0.8513,1.0127,1.1543999999999996,1.2864000000000002,1.3840999999999994,1.4386,1.4739000000000002,1.4798999999999998,1.4856999999999998,1.4846000000000001,1.4452999999999996,1.3679999999999997,1.2891,1.2626,1.1938000000000002,1.0122,1.5697999999999999
