"","x"
"Load1",1691.70869165938
"Load2",1574.79224345251
"Load3",1484.34408859287
"Load4",1418.52117861167
"Load5",1375.33557193974
"Load6",1358.89123087219
"Load7",1366.75819105934
"Load8",1513.10591338149
"Load9",1715.92547617577
"Load10",1941.94537384247
"Load11",2174.11538646343
"Load12",2379.44370484686
"Load13",2547.03761175055
"Load14",2669.87043480454
"Load15",2756.99004044375
"Load16",2808.54999509048
"Load17",2801.01001888851
"Load18",2738.30663386305
"Load19",2624.22952883387
"Load20",2455.28412433011
"Load21",2332.52731131854
"Load22",2234.14082504077
"Load23",2058.95029284821
"Load24",1876.00363272715
